thalos_id,calories,protein,fat,carbs
106972,141,31.7,0,3.5
106973,718,0.9,80.7,0.6
106974,450,1,50,1
106975,51,1.6,0.9,9.2
106976,542,2.17,57.85,3.3
106977,404,0.85,34.53,22.4
106978,427,1.9,43.33,7.36
106979,132,0.3,0.3,53.42
106980,470,9.5,21,60.67
106981,398,3.33,1.67,92.39
106982,354,0,0.2,88.1
106983,53,0.82,0.16,11.98
106984,464,9.8,17.6,66.7
106985,338,8.2,3.1,69.39
106986,97,5,1,16.9
106987,189,17.78,11.11,4.44
106988,197,21,9,8
106989,290,23,18,9
106990,149,8,9,9
106991,50,0.5,0,6.3
106992,49,0.07,0,1.17
106993,360,0.94,0,89.11
106994,353,19.9,1.4,66.2
106995,24,1.2,0.3,5.31
106996,352,11.2,3.3,75.7
106997,388,9.5,6.3,73.8
106998,385,7.1,5.6,76.2
106999,95,10.9,4.2,3
107000,208,7.85,16.67,6.73
107001,180,24.6,7,3.5
107002,295,7.1,28.6,3.5
107003,615,11.8,62.4,1.4
107004,151,12.5,8.1,6.9
107005,60,1.4,0.2,13.6
107006,37,1.4,0.2,7.31
107007,66,0.83,0.44,16.53
107008,277,3.8,1.2,70.7
107009,55,1.52,0.31,13.02
107010,60,1.31,0.1,15.14
107011,73,0.41,0.58,17.91
107012,319,2.45,1.18,78.58
107013,34,0.84,0.19,8.16
107014,28,1.11,0.1,6.58
107015,116,0.84,10.9,6.04
107016,81,0.97,6.87,5.61
107017,145,1.03,15.32,3.84
107018,47,0.94,0.12,11.75
107019,45,0.7,0.2,10.4
107020,47,0.68,0.15,11.01
107021,49,0.68,0.12,11.54
107022,47,0.68,0.12,11.27
107023,37,0.6,0.06,8.8
107024,97,1.5,0.2,25
107025,43,0.6,0.1,10.28
107026,53,0.81,0.31,13.34
107027,37,0.62,0.03,9.57
107028,57,0.17,0.15,14.51
107029,97,2.2,0.7,23.38
107030,51,0.39,0.05,13.6
107031,60,0.67,0.18,14.45
107032,54,0.45,0.03,14.55
107033,74,0.45,0.1,19.94
107034,96,0.47,0.03,26.06
107035,75,0.41,0.1,20.08
107036,103,1.06,0.22,26.6
107037,94,0.63,0.13,23.98
107038,49,0.1,0.57,11.61
107039,57,0.36,0.14,15.23
107040,29,0.19,0.03,7.81
107041,97,0.19,0.13,25.25
107042,262,1.87,0.63,69.7
107043,127,0.91,0.31,33.81
107044,140,0.86,0.29,37.14
107045,50,0.54,0.12,13.12
107046,32,0.43,0.09,8.3
107047,60,0.42,0.08,15.7
107048,52,0.36,0.12,13.45
107049,51,0.4,0.03,12.67
107050,33,0.8,0.4,7.49
107051,122,1.3,0.35,31.89
107052,155,1.52,0.16,41.37
107053,89,0.36,0.1,23.24
107054,101,0.36,0.1,26.31
107055,83,1.67,1.17,18.7
107056,123,6.81,0.32,23.64
107057,71,4.07,0.29,13.33
107058,21,2.03,0.09,4.19
107059,50,4.3,0.21,10.59
107060,67,6.15,0.7,13.05
107061,78,7.07,0.81,15.01
107062,35,1.89,0.28,7.88
107063,15,0.72,0.17,3.27
107064,21,1.05,0.41,4.19
107065,16,0.83,0.2,3.49
107066,43,1.61,0.17,9.56
107067,44,1.68,0.18,9.96
107068,30,0.73,0.09,7.14
107069,117,17.99,4.39,1.57
107070,110,17.34,3.97,1.45
107071,132,21.69,4.45,1.26
107072,95,17.38,2.29,1.23
107073,107,17.93,3.38,1.24
107074,103,14.47,3.78,2.82
107075,113,17.53,4.18,1.2
107076,507,8.77,51.57,2
107077,515,7.5,53,1.87
107078,171,19.11,10.54,0
107079,148,27.18,4.09,0.74
107080,112,19.38,3.43,1.02
107081,117,14.05,4.99,4.21
107082,149,13.69,9.29,2.72
107083,243,14.28,20,1.42
107084,179,16.09,12.13,1.35
107085,161,20.1,8.56,0.99
107086,200,18.62,13.37,1.35
107087,166,20.8,8.73,1.54
107088,125,18.62,5.05,1.72
107089,124,15.08,5.13,4.69
107090,123,13.88,5.46,4.61
107091,177,22.47,9.39,0.6
107092,191,22.88,10.93,0.33
107093,180,26.18,8.28,0.17
107094,132,26.02,3.07,0.68
107095,125,24.46,2.92,0.32
107096,139,26.49,3.68,0.68
107097,125,23.79,3.19,0.18
107098,173,22.45,9.17,0.21
107099,361,20.89,30.86,0
107100,508,9.27,52.33,0
107101,116,21.61,3.15,0.31
107102,117,21.09,3.48,0.22
107103,171,19.45,10.26,0
107104,198,28.33,9.42,0.02
107105,114,20.16,3.14,0
107106,121,21.5,3.7,0.31
107107,123,21.64,3.39,0
107108,127,22.54,3.4,0
107109,162,28.47,4.49,0
107110,155,27.47,4.23,0
107111,121,21.1,4,0.21
107112,393,22.83,32.93,1.39
107113,289,26.69,20.04,0.58
107114,187,30.55,7.15,0
107115,123,21.35,3.78,0.82
107116,175,27.58,7.14,0
107117,169,26.14,6.74,0.89
107118,216,27.83,11.65,0
107119,199,26.48,10.32,0
107120,247,26.28,15.73,0
107121,260,25.58,17.56,0
107122,270,26.4,18.31,0
107123,21,2.11,0.18,4.11
107124,99,5.33,0.29,20.23
